"report","sentiment","n","totalwc","prop"
"01072021","anger",8,1651,0.00484554815263477
"01072021","anticipation",41,1651,0.0248334342822532
"01072021","disgust",9,1651,0.00545124167171411
"01072021","fear",42,1651,0.0254391278013325
"01072021","joy",6,1651,0.00363416111447608
"01072021","negative",47,1651,0.0284675953967293
"01072021","positive",94,1651,0.0569351907934585
"01072021","sadness",26,1651,0.015748031496063
"01072021","surprise",6,1651,0.00363416111447608
"01072021","trust",42,1651,0.0254391278013325
"01142022","anger",6,969,0.00619195046439629
"01142022","anticipation",25,969,0.0257997936016512
"01142022","disgust",7,969,0.00722394220846233
"01142022","fear",29,969,0.0299277605779154
"01142022","joy",4,969,0.00412796697626419
"01142022","negative",25,969,0.0257997936016512
"01142022","positive",37,969,0.0381836945304438
"01142022","sadness",19,969,0.0196078431372549
"01142022","surprise",5,969,0.00515995872033024
"01142022","trust",22,969,0.022703818369453
"01212022","anger",3,873,0.00343642611683849
"01212022","anticipation",22,873,0.0252004581901489
"01212022","disgust",3,873,0.00343642611683849
"01212022","fear",14,873,0.0160366552119129
"01212022","joy",3,873,0.00343642611683849
"01212022","negative",9,873,0.0103092783505155
"01212022","positive",54,873,0.0618556701030928
"01212022","sadness",7,873,0.00801832760595647
"01212022","surprise",1,873,0.0011454753722795
"01212022","trust",25,873,0.0286368843069874
"01282022","anger",5,979,0.00510725229826353
"01282022","anticipation",27,979,0.0275791624106231
"01282022","disgust",4,979,0.00408580183861083
"01282022","fear",23,979,0.0234933605720123
"01282022","joy",5,979,0.00510725229826353
"01282022","negative",20,979,0.0204290091930541
"01282022","positive",51,979,0.052093973442288
"01282022","sadness",11,979,0.0112359550561798
"01282022","surprise",6,979,0.00612870275791624
"01282022","trust",26,979,0.0265577119509704
"02042022","anger",6,1413,0.00424628450106157
"02042022","anticipation",37,1413,0.0261854210898797
"02042022","disgust",14,1413,0.00990799716914367
"02042022","fear",44,1413,0.0311394196744515
"02042022","joy",7,1413,0.00495399858457183
"02042022","negative",40,1413,0.0283085633404105
"02042022","positive",74,1413,0.0523708421797594
"02042022","sadness",18,1413,0.0127388535031847
"02042022","surprise",3,1413,0.00212314225053079
"02042022","trust",43,1413,0.0304317055909413
"02112022","anger",5,909,0.0055005500550055
"02112022","anticipation",17,909,0.0187018701870187
"02112022","disgust",4,909,0.0044004400440044
"02112022","fear",20,909,0.022002200220022
"02112022","joy",2,909,0.0022002200220022
"02112022","negative",19,909,0.0209020902090209
"02112022","positive",37,909,0.0407040704070407
"02112022","sadness",14,909,0.0154015401540154
"02112022","surprise",4,909,0.0044004400440044
"02112022","trust",21,909,0.0231023102310231
"12172021","anger",5,1524,0.00328083989501312
"12172021","anticipation",38,1524,0.0249343832020997
"12172021","disgust",4,1524,0.0026246719160105
"12172021","fear",33,1524,0.0216535433070866
"12172021","joy",5,1524,0.00328083989501312
"12172021","negative",25,1524,0.0164041994750656
"12172021","positive",84,1524,0.0551181102362205
"12172021","sadness",13,1524,0.00853018372703412
"12172021","surprise",3,1524,0.00196850393700787
"12172021","trust",41,1524,0.0269028871391076
